latitude,longitude,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,SG_Depth_to_bedrock,isric-soil-proportion-of-sand,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,MODIS_NPP,HumanModification,biomes,HyphalLength_m_cm3_final
43.43,-80.66,72.49971771,968.5177002,251.4997253,10.69999981,32.31678009,67.48583984,200.0,901.0,367.0,1.420561314,5499.788086,0.628686368,4.0,0.457972973
43.43,-80.66,72.49971771,968.5177002,251.4997253,10.69999981,32.31678009,67.48583984,200.0,901.0,367.0,1.420561314,5499.788086,0.628686368,4.0,1.45722973
43.43,-80.66,72.49971771,968.5177002,251.4997253,10.69999981,32.31678009,67.48583984,200.0,901.0,367.0,1.420561314,5499.788086,0.628686368,4.0,2.521891892
43.43,-80.66,72.49971771,968.5177002,251.4997253,10.69999981,32.31678009,67.48583984,200.0,901.0,367.0,1.420561314,5499.788086,0.628686368,4.0,2.807364865
45.09,-73.37,72.5,1035.888672,254.5167236,21.59665489,63.60334778,59.78820419,200.0,615.0,47.0,0.603660703,5333.614258,0.718343318,4.0,0.130211268
45.09,-73.37,72.5,1035.888672,254.5167236,21.59665489,63.60334778,59.78820419,200.0,615.0,47.0,0.603660703,5333.614258,0.718343318,4.0,0.241760563
45.09,-73.37,72.5,1035.888672,254.5167236,21.59665489,63.60334778,59.78820419,200.0,615.0,47.0,0.603660703,5333.614258,0.718343318,4.0,0.316126761
45.09,-73.37,72.5,1035.888672,254.5167236,21.59665489,63.60334778,59.78820419,200.0,615.0,47.0,0.603660703,5333.614258,0.718343318,4.0,0.44943662
43.54,-80.22,74.5,896.0049438,255.516449,12.39999962,34.98797226,65.79603577,200.0,986.0,336.5,0.864003301,5921.867188,0.655762076,4.0,0.01589404
43.54,-80.22,74.5,896.0049438,255.516449,12.39999962,34.98797226,65.79603577,200.0,986.0,336.5,0.864003301,5921.867188,0.655762076,4.0,0.032450331
43.54,-80.22,74.5,896.0049438,255.516449,12.39999962,34.98797226,65.79603577,200.0,986.0,336.5,0.864003301,5921.867188,0.655762076,4.0,0.032450331
